Molecule name,[M+H]+
Biffamycin,727.3064
Aglycone,565.2536
Biffamycin-∆14,713.2908
Algycone-∆14,551.238
Biffamycin-∆28,699.2751
Algycone-∆28,537.2223
Biffamycin-+28,755.3126
Aglycone-+28,593.2598
Dechloro-biffamycin,693.3454
Dechloro-aglycone,531.2926
Dechloro-biffamycin-∆14 / Dechloro-demethyl-biffamycin,679.3297
Dechloro-alglycone-∆14 / Dechloro-demethyl-aglycone,517.2769
Dechloro-demethyl-biffamycin-∆14,665.3141
Dechloro-demethyl-aglycone-∆14,503.2613
Dechloro-demethoxy-biffamycin,663.3348
Dechloro-demethoxy-aglycone,501.282
Dechloro-demethoxybiffamycin-∆14,649.3192
Dechloro-demethoxy-aglycone-∆14,487.2664
Dehydroxy-biffamycin(aglycone),485.2871
Dehydroxy-biffamycin(aglycone)-∆14,471.2714
Dehydroxy-biffamycin(aglycone)-∆28,457.2558
Dehydroxy-biffamycin(aglycone)-+28,577.2648